,,,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Poor or fair health,Poor or fair health,Poor or fair health,Poor or fair health,Poor physical health days,Poor physical health days,Poor physical health days,Poor physical health days,Poor mental health days,Poor mental health days,Poor mental health days,Poor mental health days,Adult smoking,Adult smoking,Adult smoking,Adult smoking,Adult obesity,Adult obesity,Adult obesity,Adult obesity,Food environment index,Food environment index,Physical inactivity,Physical inactivity,Physical inactivity,Physical inactivity,Access to exercise opportunities,Access to exercise opportunities,Excessive drinking,Excessive drinking,Excessive drinking,Excessive drinking,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Sexually transmitted infections,Sexually transmitted infections,Sexually transmitted infections,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Uninsured,Uninsured,Uninsured,Uninsured,Uninsured,Primary care physicians,Primary care physicians,Primary care physicians,Primary care physicians,Mental health providers,Mental health providers,Mental health providers,Mental health providers,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,High school graduation,High school graduation,High school graduation,Some college,Some college,Some college,Some college,Some college,Some college,Unemployment,Unemployment,Unemployment,Unemployment,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Income inequality,Income inequality,Income inequality,Income inequality,Children in single-parent households,Children in single-parent households,Children in single-parent households,Children in single-parent households,Children in single-parent households,Children in single-parent households,Social associations,Social associations,Social associations,Violent crime,Violent crime,Violent crime,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Air pollution - particulate matter,Air pollution - particulate matter,Drinking water violations,Drinking water violations,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/White,Residential segregation - non-White/White,Homeownership,Homeownership,Homeownership,Homeownership,Severe housing cost burden,Severe housing cost burden,Severe housing cost burden,Severe housing cost burden,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings
08015,Colorado,Chaffee,216.0,5979.0,4566.2,7391.9,-0.4,,,,,,,,,,,,,,,,12.8,12.3,13.3,-0.4,3.2,3.1,3.4,-0.6,3.7,3.6,3.9,0.0,13.5,13.0,14.0,-0.5,15.6,11.8,19.9,-1.6,8.6,-0.7,17.1,13.2,21.7,-0.4,97.1,-1.1,18.6,17.8,19.3,0.1,4.0,19.0,21.1,9.5,34.5,-0.7,40.0,203.7,-0.7,15.1,10.9,20.5,-0.8,,,,,,,,,,32.2,16.1,57.5,12.8,8.7,18.3,1364.0,10.2,8.6,11.7,-0.2,18.0,91.7,1091:1,-0.6,36.0,179.8,556:1,0.2,2715.0,-0.1,,,,,,47.0,-0.6,,,,45.0,47.0,162.0,87.0,-0.3,2871.0,4580.0,62.7,53.1,72.3,0.1,261.0,9708.0,2.7,-0.7,13.7,8.9,18.5,-0.4,,,,8.3,10.2,103297.0,23500.0,4.4,0.2,679.0,2969.0,22.9,12.9,32.8,-0.5,31.0,15.8,-0.9,11.5,61.1,-1.0,86.0,89.8,71.8,110.9,-0.2,,,,,,,,,,,,,,,,4.2,-1.0,No,-1.1,14.0,10.9,17.1,12.6,9.5,15.8,1.1,0.2,2.0,0.5,0.0,1.2,-0.5,69.6,65.1,74.2,-0.5,,,,,,,,,,,,,,,,56168,50217,62119,,,,,,,,,,33021,6460,59582,55000,50972,59028,37,,41,6103,77,73,80,900,12,8,15,20027,15.0,25.4,324,1.6,326,1.6,174,0.9,17,0.1,2028,10.1,17065,85.2,110,1,0,1,47.2,6663,37.4,-0.21,20,-0.13,24,-0.21,7,-0.05,22,-0.17,20,-0.08,3
08017,Colorado,Cheyenne,,,,,0.0,,,,,,,,,,,,,,,,13.0,12.5,13.5,-0.4,3.4,3.2,3.5,-0.2,3.7,3.5,3.8,-0.3,14.0,13.5,14.6,-0.2,23.8,16.8,32.8,-0.2,8.0,0.0,30.9,21.6,41.1,2.2,48.5,1.4,18.1,17.3,18.9,-0.1,1.0,4.0,25.0,2.3,54.4,-0.4,,,0.0,,,,0.0,,,,,,,,,,,,,,,,212.0,14.9,12.8,17.0,1.5,1.0,54.2,1845:1,0.5,,,,0.0,2371.0,-0.4,,,,,,38.0,0.3,,,,,,24.0,83.3,0.2,259.0,437.0,59.3,48.8,69.7,0.3,21.0,1166.0,1.8,-1.6,20.4,13.4,27.4,0.3,,,,19.3,6.7,95048.0,23167.0,4.1,-0.3,104.0,676.0,15.4,7.0,23.8,-1.5,0.0,0.0,1.7,1.5,80.1,-0.8,11.0,118.7,59.2,212.3,0.8,,,,,,,,,,,,,,,,5.8,0.2,No,-1.1,7.7,3.9,11.6,6.9,0.8,13.0,0.5,0.0,3.7,1.0,0.0,3.2,-2.1,79.1,71.6,86.6,0.9,,,,,,,,,,,,,,,,54504,47479,61529,,,,63500,0,129273,,,,41635,13446,69824,58214,49629,66799,50,,,550,74,67,82,47,7,0,15,1876,25.4,20.5,17,0.9,24,1.3,17,0.9,1,0.1,219,11.7,1584,84.4,30,2,0,5,49.1,1836,100.0,0.00,27,-0.09,31,0.02,32,0.14,51,-0.11,24,-0.06,11
08019,Colorado,Clear Creek,101.0,5065.2,3369.9,6760.6,-0.8,,,,,,,,,,,,,,,,10.5,10.0,11.0,-1.1,2.9,2.8,3.1,-1.2,3.3,3.1,3.5,-1.4,12.5,11.9,13.1,-1.1,22.2,16.5,28.6,-0.5,8.7,-0.8,16.7,11.2,23.3,-0.5,81.8,-0.3,20.3,19.5,21.2,0.8,5.0,11.0,45.5,29.6,59.3,0.9,8.0,83.6,-1.4,11.7,6.7,19.0,-1.1,,,,,,,,,,,,,,,,422.0,5.5,4.6,6.5,-1.8,1.0,10.4,9574:1,1.8,4.0,41.6,2401:1,0.9,942.0,-1.4,,,,,,47.0,-0.6,,,,36.0,46.0,58.0,86.2,-0.2,1579.0,2166.0,72.9,60.5,85.3,-0.7,184.0,6075.0,3.0,-0.3,10.2,6.6,13.8,-0.9,,,,15.8,1.7,120088.0,33260.0,3.6,-1.1,335.0,1468.0,22.8,12.7,32.9,-0.5,4.0,4.2,1.0,51.0,562.5,2.7,30.0,63.7,43.0,90.9,-1.1,,,,,,,,,,,,,,,,4.6,-0.7,Yes,0.9,10.3,7.0,13.7,7.9,5.1,10.7,1.7,0.2,3.2,1.1,0.0,2.3,-1.4,68.8,62.4,75.3,-0.6,,,,,,,,,,,,,,,,74019,64762,83276,,,,,,,26118,17564,34672,68636,10130,127142,71538,64132,78944,27,,23,3548,76,73,80,469,10,7,14,9605,15.1,20.3,96,1.0,114,1.2,97,1.0,6,0.1,708,7.4,8475,88.2,87,1,0,2,47.2,9088,100.0,-0.40,8,-0.32,9,-0.18,11,-0.11,11,-0.11,23,-0.01,22
08021,Colorado,Conejos,123.0,11527.3,8534.2,14520.4,1.9,,,,,,,,,,,,,,,,22.7,22.0,23.4,2.1,4.3,4.2,4.5,1.9,4.1,4.0,4.3,1.3,15.6,15.1,16.1,0.8,26.1,19.8,33.7,0.2,9.0,-1.1,25.5,19.1,32.3,1.2,22.1,2.7,14.6,14.0,15.2,-1.4,1.0,5.0,20.0,1.6,47.8,-0.7,20.0,244.4,-0.5,26.9,20.5,34.7,0.4,,,,,,,,,,,,,,,,694.0,10.7,9.2,12.3,0.0,5.0,61.1,1637:1,0.3,2.0,24.4,4100:1,0.9,2416.0,-0.3,,,,1736.0,2782.0,32.0,0.9,,,,28.0,36.0,141.0,87.9,-0.4,1027.0,1722.0,59.6,51.1,68.2,0.3,179.0,4080.0,4.4,1.1,27.5,18.4,36.6,1.2,21.7,,67.6,30.5,24.9,74261.0,14953.0,5.0,1.2,594.0,2210.0,26.9,20.2,33.6,0.0,4.0,4.9,0.9,3.5,45.0,-1.1,50.0,122.2,90.7,161.1,0.9,,,,,,,,,,157.0,108.7,219.4,86.8,49.6,141.0,4.4,-0.8,Yes,0.9,15.2,11.9,18.5,10.7,7.3,14.1,3.9,2.3,5.5,0.5,0.0,1.3,-0.2,74.7,70.7,78.6,0.2,,,,,,,,,,76.5,67.6,85.5,69.1,60.0,78.2,38777,33951,43603,,,,,,,,,,28146,25769,30523,50093,34157,66029,65,,0,2445,80,78,81,381,13,9,17,8200,25.9,19.3,34,0.4,325,4.0,82,1.0,15,0.2,4242,51.7,3718,45.3,203,3,1,4,49.8,8256,100.0,0.96,58,0.63,56,0.06,39,0.09,46,0.24,49,0.00,29
08023,Colorado,Costilla,,,,,0.0,,,,,,,,,,,,,,,,28.0,27.0,28.9,3.0,4.8,4.6,5.0,2.9,4.5,4.3,4.7,2.4,17.1,16.5,17.6,1.7,27.9,19.6,36.5,0.5,4.7,3.0,25.1,16.7,35.5,1.1,41.5,1.8,12.3,11.8,12.8,-2.3,3.0,12.0,25.0,10.0,41.8,-0.4,15.0,397.2,0.4,27.8,16.5,43.9,0.5,,,,,,,,,,,,,,,,398.0,14.9,12.7,17.0,1.5,,,,0.0,1.0,26.1,3828:1,0.9,3019.0,0.1,,,,3923.0,741.0,34.0,0.7,,,,37.0,30.0,29.0,86.2,-0.2,326.0,592.0,55.1,41.9,68.2,0.6,82.0,1910.0,4.3,1.0,36.9,23.8,50.0,2.3,,,,43.1,39.9,57387.0,11846.0,4.8,1.0,286.0,671.0,42.6,25.9,59.3,2.0,0.0,0.0,1.7,8.0,226.2,0.2,22.0,119.1,74.6,180.3,0.8,,,,,,,,,,95.4,47.6,170.7,174.9,87.3,312.9,4.2,-1.0,No,-1.1,19.9,14.3,25.6,14.6,9.1,20.0,1.3,0.0,3.2,4.7,2.2,7.1,0.9,68.9,60.6,77.2,-0.6,,,,,,,,,,72.9,62.0,83.7,67.2,46.8,87.6,31557,27502,35612,,,,28750,4675,52825,,,,30303,23738,36868,34545,23416,45674,88,,4,1189,70,67,74,262,17,11,23,3828,18.9,27.3,31,0.8,204,5.3,58,1.5,10,0.3,2307,60.3,1335,34.9,304,9,5,12,48.2,3524,100.0,0.00,27,1.43,60,0.25,58,0.17,54,0.44,58,-0.04,14
08025,Colorado,Crowley,,,,,0.0,,,,,,,,,,,,,,,,18.8,18.2,19.4,1.1,3.9,3.8,4.1,1.0,3.8,3.6,3.9,0.1,18.6,18.0,19.3,2.6,30.9,20.6,43.1,1.1,8.0,0.0,20.5,12.3,30.7,0.2,33.1,2.2,19.6,18.8,20.4,0.5,2.0,4.0,50.0,22.2,70.5,1.2,13.0,223.8,-0.6,39.8,25.5,59.2,1.6,,,,,,,,,,,,,,,,245.0,11.1,9.4,12.7,0.2,1.0,17.2,5810:1,1.6,,,,0.0,3988.0,0.9,,,,3213.0,4311.0,39.0,0.2,,,,37.0,38.0,34.0,91.2,-0.8,577.0,1678.0,34.4,25.7,43.1,2.2,67.0,1533.0,4.4,1.1,29.7,19.1,40.3,1.4,,,,29.9,32.6,76487.0,16965.0,4.5,0.4,249.0,716.0,34.8,20.4,49.1,1.0,4.0,6.9,0.6,3.5,65.2,-1.0,28.0,99.0,65.8,143.1,0.1,,,,,,,,,,,,,,,,5.4,-0.1,No,-1.1,18.3,12.4,24.2,15.1,8.5,21.6,3.7,0.2,7.1,2.0,0.0,4.6,0.5,82.8,75.1,90.6,1.4,,,,,,,,,,,,,,,,35880,31153,40607,14038,4344,23732,53594,52190,54998,,,,34435,20633,48237,38269,31806,44732,53,,,865,72,57,87,137,12,6,19,5858,11.7,13.7,613,10.5,203,3.5,72,1.2,1,0.0,1828,31.2,3162,54.0,141,3,1,4,26.8,5823,100.0,0.00,27,0.27,50,0.41,60,0.11,47,0.31,52,0.02,37
08027,Colorado,Custer,,,,,0.0,,,,,,,,,,,,,,,,13.4,12.9,14.0,-0.3,3.5,3.3,3.7,0.1,3.8,3.6,4.0,0.2,13.7,13.0,14.3,-0.4,27.9,20.7,36.5,0.5,7.7,0.3,21.2,14.3,28.7,0.4,95.0,-1.0,15.2,14.5,16.0,-1.2,3.0,8.0,37.5,17.9,55.6,0.4,9.0,184.7,-0.8,19.4,10.8,31.9,-0.4,,,,,,,,,,,,,,,,401.0,12.6,10.7,14.5,0.7,3.0,61.6,1625:1,0.3,3.0,60.6,1651:1,0.8,886.0,-1.5,,,,,,43.0,-0.2,,,,,,30.0,93.3,-1.1,302.0,551.0,54.8,39.1,70.5,0.7,77.0,2106.0,3.7,0.3,24.9,16.1,33.7,0.9,,,10.6,,31.7,83014.0,21191.0,3.9,-0.6,142.0,764.0,18.6,7.1,30.0,-1.1,16.0,32.8,-3.0,5.5,125.2,-0.5,33.0,142.0,97.8,199.5,1.6,,,,,,,,,,,,,,,,4.2,-1.0,No,-1.1,24.6,16.4,32.9,21.3,13.2,29.5,3.5,0.0,7.2,1.0,0.0,2.5,2.1,65.5,56.1,74.8,-1.1,,,,,,,,,,,,,,,,55242,48398,62086,,,,,,,,,,195024,17220,372828,44111,34757,53465,49,,,1777,85,82,89,324,16,9,22,4954,13.8,32.2,66,1.3,59,1.2,26,0.5,1,0.0,273,5.5,4454,89.9,51,1,0,3,48.4,4255,100.0,0.00,27,0.20,47,-0.06,23,-0.01,29,-0.01,34,-0.03,18
08029,Colorado,Delta,481.0,7444.8,6259.2,8630.4,0.2,,,,,,,,,,,,,,,,15.7,15.1,16.3,0.3,3.8,3.6,3.9,0.6,4.0,3.8,4.2,0.8,14.6,14.0,15.2,0.2,26.7,21.7,31.8,0.3,8.0,0.0,20.4,16.3,24.9,0.2,73.3,0.1,15.4,14.8,16.0,-1.1,11.0,17.0,64.7,55.4,72.3,2.2,84.0,274.8,-0.3,30.4,25.9,34.8,0.7,,,,,,,,,,37.6,28.1,49.3,27.9,23.0,32.9,2364.0,10.7,9.2,12.3,0.0,24.0,78.5,1274:1,-0.2,49.0,158.3,632:1,0.3,2375.0,-0.4,,,,,,40.0,0.1,,,,43.0,40.0,359.0,84.1,0.1,2628.0,6160.0,42.7,36.6,48.8,1.6,585.0,14851.0,3.9,0.6,23.1,16.1,30.1,0.7,29.7,,,31.9,25.0,87015.0,18989.0,4.6,0.5,1479.0,6151.0,24.0,18.2,29.9,-0.4,41.0,13.4,-0.5,23.0,84.3,-0.8,161.0,106.1,89.7,122.4,0.4,,,,,,,,,,,,,,,,5.3,-0.1,Yes,0.9,19.2,16.9,21.6,15.8,13.1,18.5,3.4,1.9,4.9,0.7,0.3,1.2,0.8,74.2,70.9,77.4,0.2,,,,,,,,,,63.4,51.0,75.8,74.6,69.5,79.6,46786,41727,51845,,,,38149,16640,59658,,,,37687,33410,41964,46099,42130,50068,55,88,30,8441,71,68,74,2002,18,14,21,30953,20.0,25.9,190,0.6,414,1.3,261,0.8,29,0.1,4769,15.4,25114,81.1,477,2,1,2,49.9,19553,63.2,0.10,43,0.08,44,0.08,40,-0.01,31,0.17,46,0.04,48
08031,Colorado,Denver,6723.0,6376.3,6172.1,6580.5,-0.2,12070.1,9092.8,15710.9,3210.5,2479.0,3942.1,10205.5,9353.3,11057.7,7080.4,6696.9,7463.9,5474.9,5207.5,5742.2,15.1,14.8,15.4,0.1,3.4,3.3,3.5,-0.2,3.6,3.5,3.7,-0.5,14.7,14.3,15.0,0.2,16.6,15.3,18.0,-1.4,8.1,-0.1,12.8,11.8,13.9,-1.2,99.5,-1.2,26.6,26.0,27.2,3.2,90.0,257.0,35.0,31.9,38.1,0.3,6928.0,983.2,3.8,30.5,29.5,31.5,0.7,35.7,25.0,49.4,8.5,6.3,11.2,30.8,28.0,33.7,44.2,42.5,45.9,12.3,11.1,13.4,65375.0,10.7,9.9,11.6,0.0,933.0,132.4,755:1,-1.9,4094.0,571.4,175:1,-1.6,2728.0,-0.1,3271.0,1192.0,4204.0,3035.0,2413.0,48.0,-0.7,33.0,49.0,35.0,36.0,52.0,5796.0,70.2,1.8,199638.0,266837.0,74.8,73.5,76.1,-0.8,13146.0,412817.0,3.2,-0.2,16.7,13.4,20.0,-0.1,24.6,15.0,35.6,26.8,6.8,133918.0,26393.0,5.1,1.4,47636.0,138657.0,34.4,32.6,36.1,1.0,757.0,10.7,-0.1,4308.5,631.5,3.2,2620.0,75.7,72.8,78.6,-0.7,141.3,97.9,197.5,42.4,32.4,54.4,87.2,77.3,97.2,64.3,59.4,69.2,81.3,77.3,85.4,8.2,2.0,No,-1.1,19.0,18.3,19.7,16.1,15.5,16.8,3.3,3.0,3.6,0.9,0.8,1.1,0.7,69.6,68.8,70.4,-0.5,65.2,62.6,67.9,66.1,63.2,68.9,67.3,65.7,68.9,71.1,69.4,72.8,72.1,71.6,72.7,68069,64979,71159,35841,19240,52442,60634,55337,65931,39994,37388,42600,47268,45304,49232,77144,75699,78589,67,54,33,146083,50,49,50,46044,16,15,17,716492,19.5,11.8,64126,8.9,12900,1.8,29369,4.1,1410,0.2,212562,29.7,390336,54.5,38939,6,6,6,49.8,0,0.0,-0.12,23,-0.09,33,0.11,44,-0.11,10,0.15,43,0.03,47
08033,Colorado,Dolores,,,,,0.0,,,,,,,,,,,,,,,,14.5,14.0,15.1,0.0,3.7,3.5,3.8,0.4,4.0,3.8,4.2,0.9,15.3,14.7,15.9,0.6,20.7,14.4,29.4,-0.7,4.1,3.0,17.3,11.0,25.8,-0.4,27.8,2.5,15.9,15.2,16.7,-0.9,2.0,4.0,50.0,22.2,70.5,1.2,8.0,387.0,0.4,,,,0.0,,,,,,,,,,,,,,,,180.0,11.7,9.9,13.5,0.4,,,,0.0,1.0,48.2,2074:1,0.8,1980.0,-0.6,,,,,,32.0,0.9,,,,,,12.0,91.7,-0.9,233.0,368.0,63.3,46.7,79.9,0.0,34.0,1197.0,2.8,-0.5,16.5,10.7,22.3,-0.1,,,,,,96250.0,23800.0,4.0,-0.4,159.0,356.0,44.7,17.0,72.4,2.3,0.0,0.0,1.7,3.5,175.4,-0.1,13.0,128.0,68.2,219.0,1.1,,,,,,,,,,,,,,,,4.4,-0.8,No,-1.1,13.9,8.1,19.7,6.8,0.2,13.5,3.2,0.0,7.2,1.9,0.0,4.6,-0.6,56.2,52.4,60.0,-2.4,,,,,,,,,,,,,,,,47482,41388,53576,,,,,,,,,,,,,,,,57,,,600,81,74,89,33,5,0,12,2074,20.0,25.1,7,0.3,67,3.2,5,0.2,2,0.1,129,6.2,1823,87.9,0,0,0,3,47.4,2064,100.0,0.00,27,0.73,58,0.12,46,0.01,36,0.01,36,-0.10,2
08035,Colorado,Douglas,1763.0,3549.4,3304.0,3794.8,-1.4,,,,,,,,,,3471.1,2700.7,4392.9,3677.2,3400.3,3954.0,8.1,7.8,8.4,-1.7,2.5,2.4,2.6,-2.2,2.9,2.8,3.1,-2.6,10.7,10.3,11.2,-2.2,19.6,17.6,21.7,-0.9,9.2,-1.3,10.6,9.2,12.1,-1.6,93.4,-0.9,21.0,20.3,21.6,1.0,32.0,89.0,36.0,30.6,41.2,0.3,568.0,169.4,-0.9,4.1,3.7,4.6,-1.8,,,,2.9,1.4,5.2,8.8,4.7,15.0,8.1,6.3,10.2,3.4,2.9,3.8,11379.0,3.8,3.3,4.3,-2.4,235.0,70.1,1427:1,0.0,400.0,116.7,857:1,0.5,3171.0,0.2,,4531.0,1764.0,1346.0,3110.0,54.0,-1.3,,47.0,41.0,50.0,54.0,4808.0,90.8,-0.7,75722.0,85839.0,88.2,86.0,90.5,-1.9,5472.0,191240.0,2.9,-0.5,2.5,1.7,3.3,-1.8,7.8,3.7,11.0,6.0,3.3,194601.0,58227.0,3.3,-1.6,13279.0,89066.0,14.9,13.5,16.4,-1.5,205.0,6.1,0.7,365.0,113.6,-0.6,837.0,50.9,47.5,54.4,-1.5,,,,22.1,13.3,34.6,,,,36.8,27.5,48.3,54.8,50.9,58.7,7.0,1.1,Yes,0.9,10.6,9.9,11.3,9.6,8.8,10.3,1.0,0.7,1.2,0.3,0.2,0.4,-1.4,77.2,76.5,77.9,0.6,,,,73.0,65.9,80.2,83.0,73.1,93.0,74.4,72.3,76.5,74.3,73.1,75.6,120670,115962,125378,97031,44638,149424,112526,100695,124357,106375,80547,132203,104059,93744,114374,117113,114661,119565,12,46,28,92775,79,78,80,10897,9,9,10,342776,26.0,11.9,4660,1.4,1763,0.5,17786,5.2,326,0.1,30763,9.0,280777,81.9,2110,1,1,1,50.1,29367,10.3,-0.72,4,-0.74,1,-0.37,1,-0.18,4,-0.42,1,0.04,49
08037,Colorado,Eagle,246.0,3056.9,2514.4,3599.5,-1.6,,,,,,,,,,3020.3,2194.5,4054.6,3159.1,2431.0,3887.2,12.3,11.9,12.7,-0.6,3.0,2.9,3.1,-1.1,3.4,3.3,3.5,-1.1,12.5,12.1,13.0,-1.1,12.9,9.6,16.4,-2.1,9.1,-1.2,12.0,9.1,15.5,-1.3,97.8,-1.1,22.1,21.2,22.8,1.4,10.0,31.0,32.3,22.8,41.8,0.1,172.0,314.0,-0.1,18.1,15.5,20.7,-0.5,,,,,,,,,,35.5,30.0,40.9,3.6,2.1,5.6,5958.0,12.2,10.6,13.9,0.6,42.0,76.7,1304:1,-0.2,95.0,172.7,579:1,0.3,1140.0,-1.3,,,,987.0,1081.0,52.0,-1.1,,57.0,,31.0,54.0,550.0,74.9,1.3,12620.0,17666.0,71.4,65.5,77.4,-0.6,989.0,36207.0,2.7,-0.6,8.1,5.4,10.8,-1.1,,7.3,,17.8,0.2,149791.0,42610.0,3.5,-1.3,2600.0,11997.0,21.7,14.9,28.4,-0.7,43.0,7.9,0.4,77.0,144.3,-0.4,133.0,49.2,40.8,57.6,-1.6,,,,,,,,,,33.5,22.0,48.7,56.4,45.5,67.3,4.2,-1.0,Yes,0.9,18.2,15.2,21.2,14.0,11.2,16.9,3.6,2.2,5.0,1.6,0.4,2.7,0.5,73.5,70.7,76.3,0.1,,,,,,,,,,79.1,73.6,84.7,73.1,69.5,76.7,86896,78796,94996,,,,54535,46790,62280,57782,11195,104369,61194,54771,67617,95726,87511,103941,37,77,24,12531,71,68,73,2653,15,12,18,54993,21.8,11.6,546,1.0,750,1.4,722,1.3,54,0.1,16401,29.8,36749,66.8,3473,7,6,8,47.0,10431,20.0,-0.82,1,-0.34,7,-0.25,4,-0.10,12,-0.20,14,0.01,35
08039,Colorado,Elbert,221.0,5547.1,4313.9,6780.4,-0.6,,,,,,,,,,,,,,,,10.8,10.4,11.2,-1.0,3.0,2.8,3.1,-1.1,3.4,3.2,3.6,-1.2,12.7,12.2,13.3,-1.0,28.0,23.4,32.9,0.6,8.7,-0.8,18.7,14.9,22.8,-0.1,56.3,1.0,19.4,18.6,20.3,0.4,6.0,15.0,40.0,26.2,52.8,0.6,39.0,152.1,-1.0,7.2,5.2,9.8,-1.5,,,,,,,,,,,,,,,,1687.0,7.8,6.7,8.9,-1.0,4.0,15.6,6411:1,1.6,31.0,118.0,848:1,0.5,2563.0,-0.2,,,,,,41.0,0.0,,,40.0,43.0,41.0,215.0,87.0,-0.3,3573.0,4825.0,74.1,66.5,81.6,-0.8,425.0,14963.0,2.8,-0.5,7.2,4.7,9.7,-1.2,,,,8.1,4.9,174774.0,44263.0,3.9,-0.6,804.0,5472.0,14.7,10.1,19.3,-1.6,12.0,4.7,1.0,1.0,4.3,-1.4,76.0,60.3,47.5,75.4,-1.2,,,,,,,,,,,,,,,,6.2,0.5,Yes,0.9,13.5,10.9,16.2,11.1,8.5,13.8,2.0,0.9,3.0,0.8,0.1,1.4,-0.6,80.2,77.2,83.2,1.0,,,,,,,,,,,,,,,,98247,90669,105825,43634,0,88231,175521,60293,290749,190952,32113,349791,49612,0,100881,96761,90935,102587,21,,17,8116,90,88,91,929,10,8,13,26282,21.8,16.4,331,1.3,222,0.8,296,1.1,52,0.2,1892,7.2,23187,88.2,32,0,0,1,49.5,23086,100.0,-0.30,13,-0.43,4,-0.11,17,-0.01,32,-0.29,7,0.07,57
08041,Colorado,El Paso,7379.0,7452.8,7224.4,7681.2,0.2,11509.4,8542.5,15173.6,4342.4,3424.1,5260.7,9446.2,8515.1,10377.4,7368.2,6826.6,7909.7,7344.7,7070.7,7618.7,12.6,12.3,12.9,-0.5,3.1,3.0,3.2,-0.8,3.8,3.7,3.9,0.2,14.3,13.9,14.6,0.0,22.3,20.8,23.8,-0.4,7.7,0.3,16.4,15.2,17.6,-0.5,88.4,-0.6,16.6,16.1,17.1,-0.7,124.0,307.0,40.4,37.7,43.1,0.6,3748.0,536.0,1.2,21.7,21.0,22.4,-0.1,19.7,12.8,28.8,12.5,9.8,15.8,28.3,25.5,31.1,39.3,37.2,41.4,15.5,14.7,16.2,45223.0,7.6,6.9,8.3,-1.1,419.0,59.9,1669:1,0.3,2284.0,320.0,313:1,-0.4,2906.0,0.0,1009.0,1844.0,4271.0,2634.0,2854.0,46.0,-0.5,41.0,43.0,32.0,41.0,47.0,9703.0,76.6,1.0,145204.0,193749.0,74.9,73.4,76.5,-0.9,13268.0,337084.0,3.9,0.6,13.2,10.7,15.7,-0.5,19.3,8.8,17.8,24.3,10.2,123474.0,29585.0,4.2,-0.2,45727.0,167640.0,27.3,25.8,28.8,0.1,602.0,8.6,0.3,2696.5,399.6,1.5,3094.0,90.0,86.8,93.1,-0.2,133.1,93.2,184.3,44.3,33.4,57.5,74.2,63.6,84.8,70.0,63.2,76.9,97.4,93.5,101.3,6.1,0.5,Yes,0.9,16.0,15.3,16.7,13.7,13.0,14.3,2.5,2.2,2.8,0.8,0.6,1.0,0.0,77.4,76.6,78.2,0.6,69.1,62.8,75.4,73.9,70.4,77.3,78.4,76.0,80.7,74.0,71.7,76.2,78.6,77.9,79.3,67923,65322,70524,53676,42424,64928,65215,54436,75994,52406,49403,55409,52116,48942,55290,69640,68460,70820,38,39,30,161564,64,63,64,34598,14,13,15,713856,24.1,12.8,43321,6.1,9748,1.4,22363,3.1,2809,0.4,124622,17.5,491494,68.9,9985,2,,,49.5,55595,8.9,0.10,44,-0.12,28,-0.01,29,-0.07,16,0.07,39,0.04,51
