OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Disability_Population_Total_Civilian_Noninstitutionalized,Disability_Population_Total_Under18_Civilian_Noninstitutionalize,Disability_TCNPop_With_A_Disability,Percent_Disability_TCNPop_With_A_Disability,Disability_Population_TCNPop_Age_Under_5,Disability_TCNPop_AgeUnder5_With_A_Disability,Percent_Disability_TCNPop_AgeUnder5_With_A_Disability,Disability_Population_TCNPop_Age5to17,Disability_TCNPop_Age5to17_With_A_Disability,Percent_Disability_TCNPop_Age5to17_With_A_Disability,Disability_Population_TCNPop_Age0to17,Disability_TCNPopAge0to17_With_A_Disability,Percent_Disability_TCNPop_Age0to17_With_A_Disability,Disability_TCNPop_With_A_Hearing_Difficulty,Percent_Disability_TCNPop_With_A_Hearing_Difficulty,Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Disability_TCNPop_With_A_Vision_Difficulty,Percent_Disability_TCNPop_With_A_Vision_Difficulty,Disability_TCNPop_With_A_Vision_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Vision_Difficulty_Under18,Disability_Population_TCNPop_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Disability_Population_TCNPop_Age_Over_17,Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty,Percent_Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty
1098,08005005632,"Census Tract 56.32, Arapahoe County, Colorado",08005005632,ARAPAHOE,3267,3843.5,3267,743,254,7.8,262,0,0,481,37,7.7,743,37,4.8,116,3.6,0,0,47,1.4,0,0,3005,167,5.6,37,7.7,100,3.3,0,0,91,3,0,0,2524,109,4.3
1099,08005005629,"Census Tract 56.29, Arapahoe County, Colorado",08005005629,ARAPAHOE,2555,2580.8,2555,632,109,4.3,100,0,0,532,3,0.6,632,4,0.6,48,1.9,0,0,6,0.2,0,0,2455,20,0.8,3,0.6,42,1.7,0,0,16,0.7,0,0,1923,35,1.8
1100,08005084400,"Census Tract 844, Arapahoe County, Colorado",08005084400,ARAPAHOE,3098,7556.1,3094,804,477,15.4,168,0,0,636,110,17.3,804,150,19.2,127,4.1,0,0,68,2.2,10,1.2,2926,282,9.6,110,17.3,189,6.5,0,0,56,1.9,33,5.2,2290,109,4.8
1101,08055960900,"Census Tract 9609, Huerfano County, Colorado",08055960900,HUERFANO,3302,2.1,3205,420,717,22.4,44,0,0,376,18,4.8,420,21,5.4,495,15.4,0,0,236,7.4,0,0,3161,176,5.6,8,2.1,323,10.2,0,0,110,3.5,0,0,2785,282,10.1
1102,08055960600,"Census Tract 9606, Huerfano County, Colorado",08055960600,HUERFANO,3196,76.2,3143,616,914,29.1,22,0,0,594,59,9.9,616,59,9.2,339,10.8,0,0,210,6.7,0,0,3121,363,11.6,59,9.9,509,16.3,0,0,119,3.8,0,0,2527,324,12.8
1103,08005005624,"Census Tract 56.24, Arapahoe County, Colorado",08005005624,ARAPAHOE,2631,3416.9,2631,607,175,6.7,83,0,0,524,12,2.3,607,15,3.1,98,3.7,0,0,61,2.3,12,2,2548,76,3,12,2.3,77,3,0,0,57,2.2,0,0,2024,83,4.1
1104,08005005627,"Census Tract 56.27, Arapahoe County, Colorado",08005005627,ARAPAHOE,4686,4686,4686,1128,292,6.2,226,0,0,902,0,0,1128,0,0,112,2.4,0,0,49,1,0,0,4460,103,2.3,0,0,155,3.5,0,0,33,0.7,0,0,3558,111,3.1
1105,08005005614,"Census Tract 56.14, Arapahoe County, Colorado",08005005614,ARAPAHOE,3270,3633.3,3270,666,279,8.5,218,0,0,448,0,0,666,0,0,148,4.5,0,0,64,2,0,0,3052,34,1.1,0,0,72,2.4,0,0,10,0.3,0,0,2604,55,2.1
1106,08005006707,"Census Tract 67.07, Arapahoe County, Colorado",08005006707,ARAPAHOE,5258,4206.4,5251,1370,305,5.8,484,6,1.2,886,8,0.9,1370,8,0.6,131,2.5,6,0.4,24,0.5,0,0,4767,66,1.4,8,0.9,94,2,0,0,39,0.8,0,0,3881,111,2.9
1107,08005006708,"Census Tract 67.08, Arapahoe County, Colorado",08005006708,ARAPAHOE,5062,5062,5049,1150,202,4,218,9,4.1,932,10,1.1,1150,21,1.7,84,1.7,9,0.8,78,1.5,0,0,4831,67,1.4,10,1.1,110,2.3,0,0,15,0.3,5,0.5,3899,63,1.6
1108,08005006604,"Census Tract 66.04, Arapahoe County, Colorado",08005006604,ARAPAHOE,4582,6276.7,4582,946,737,16.1,431,0,0,515,24,4.7,946,18,2.1,168,3.7,0,0,161,3.5,0,0,4151,427,10.3,24,4.7,366,8.8,0,0,176,4.2,0,0,3636,223,6.1
1109,08005006603,"Census Tract 66.03, Arapahoe County, Colorado",08005006603,ARAPAHOE,3393,4712.5,3393,660,434,12.8,103,0,0,557,31,5.6,660,44,5.4,124,3.7,0,0,48,1.4,0,0,3290,147,4.5,31,5.6,215,6.5,0,0,70,2.1,0,0,2733,205,7.5
1110,08005006705,"Census Tract 67.05, Arapahoe County, Colorado",08005006705,ARAPAHOE,2041,1046.7,2041,640,123,6,63,0,0,577,31,5.4,640,25,4,51,2.5,0,0,16,0.8,0,0,1978,49,2.5,31,5.4,41,2.1,0,0,50,2.5,31,5.4,1401,19,1.4
1111,08005006601,"Census Tract 66.01, Arapahoe County, Colorado",08005006601,ARAPAHOE,5531,7374.7,5375,927,732,13.6,293,0,0,634,53,8.4,927,40,4,329,6.1,39,4.2,206,3.8,39,4.2,5082,256,5,14,2.2,331,6.5,0,0,209,4.1,14,2.2,4448,256,5.8
1112,08005005621,"Census Tract 56.21, Arapahoe County, Colorado",08005005621,ARAPAHOE,3034,3034,3034,610,266,8.8,79,0,0,531,0,0,610,0,0,159,5.2,0,0,30,1,0,0,2955,82,2.8,0,0,140,4.7,0,0,88,3,0,0,2424,138,5.7
1113,08005005625,"Census Tract 56.25, Arapahoe County, Colorado",08005005625,ARAPAHOE,3103,4309.7,3103,615,385,12.4,113,0,0,502,54,10.8,615,43,6.8,87,2.8,10,1.6,71,2.3,0,0,2990,203,6.8,44,8.8,178,6,0,0,50,1.7,0,0,2488,119,4.8
1114,08005006704,"Census Tract 67.04, Arapahoe County, Colorado",08005006704,ARAPAHOE,4501,1056.6,4501,1373,399,8.9,210,0,0,1163,92,7.9,1373,89,6.9,149,3.3,23,1.7,85,1.9,8,0.6,4291,107,2.5,55,4.7,110,2.6,6,0.5,36,0.8,6,0.5,3128,31,1
1115,08005005620,"Census Tract 56.20, Arapahoe County, Colorado",08005005620,ARAPAHOE,2905,7644.7,2905,325,296,10.2,161,0,0,164,0,0,325,0,0,71,2.4,0,0,62,2.1,0,0,2744,75,2.7,0,0,181,6.6,0,0,36,1.3,0,0,2580,122,4.7
1116,08005006709,"Census Tract 67.09, Arapahoe County, Colorado",08005006709,ARAPAHOE,5495,3392,5479,1381,196,3.6,289,0,0,1092,34,3.1,1381,38,2.8,65,1.2,0,0,28,0.5,0,0,5190,88,1.7,34,3.1,98,1.9,18,1.6,33,0.6,18,1.6,4098,47,1.1
1117,08005005619,"Census Tract 56.19, Arapahoe County, Colorado",08005005619,ARAPAHOE,4655,3145.3,4625,866,391,8.5,202,0,0,664,17,2.6,866,51,5.9,108,2.3,0,0,97,2.1,0,0,4423,111,2.5,17,2.6,172,3.9,0,0,36,0.8,0,0,3759,111,3
1118,08005005633,"Census Tract 56.33, Arapahoe County, Colorado",08005005633,ARAPAHOE,3109,4145.3,3109,620,301,9.7,90,0,0,530,0,0,620,0,0,147,4.7,0,0,56,1.8,0,0,3019,83,2.7,0,0,169,5.6,0,0,71,2.4,0,0,2489,133,5.3
1119,08005081700,"Census Tract 817, Arapahoe County, Colorado",08005081700,ARAPAHOE,2946,4149.3,2946,726,143,4.9,215,0,0,511,10,2,726,9,1.2,54,1.8,5,0.7,40,1.4,5,0.7,2731,51,1.9,10,2,50,1.8,5,1,32,1.2,5,1,2220,74,3.3
1120,08005015100,"Census Tract 151, Arapahoe County, Colorado",08005015100,ARAPAHOE,2797,4907,2755,618,311,11.3,267,0,0,351,11,3.1,618,8,1.5,92,3.3,0,0,60,2.2,0,0,2488,99,4,11,3.1,143,5.7,0,0,23,0.9,0,0,2137,125,5.8
1121,08005083900,"Census Tract 839, Arapahoe County, Colorado",08005083900,ARAPAHOE,2840,5358.5,2840,453,230,8.1,114,0,0,339,17,5,453,14,3,78,2.7,0,0,63,2.2,0,0,2726,81,3,17,5,114,4.2,17,5,17,0.6,17,5,2387,52,2.2
1122,08005082900,"Census Tract 829, Arapahoe County, Colorado",08005082900,ARAPAHOE,4776,4682.4,4776,1248,468,9.8,385,18,4.7,863,92,10.7,1248,111,9,119,2.5,43,3.4,100,2.1,25,2,4391,131,3,60,7,196,4.5,9,1,66,1.5,9,1,3528,82,2.3
1123,08005087300,"Census Tract 873, Arapahoe County, Colorado",08005087300,ARAPAHOE,8384,9981,8262,2401,988,12,852,0,0,1549,129,8.3,2401,118,5.3,127,1.5,0,0,316,3.8,0,0,7410,423,5.7,129,8.3,205,2.8,0,0,79,1.1,0,0,5861,287,4.9
1124,08005086900,"Census Tract 869, Arapahoe County, Colorado",08005086900,ARAPAHOE,3043,10867.9,3043,664,246,8.1,297,0,0,367,32,8.7,664,8,1.1,70,2.3,0,0,23,0.8,0,0,2746,110,4,0,0,176,6.4,24,6.5,36,1.3,0,0,2379,154,6.5
