OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Disability_Population_Total_Civilian_Noninstitutionalized,Disability_Population_Total_Under18_Civilian_Noninstitutionalize,Disability_TCNPop_With_A_Disability,Percent_Disability_TCNPop_With_A_Disability,Disability_Population_TCNPop_Age_Under_5,Disability_TCNPop_AgeUnder5_With_A_Disability,Percent_Disability_TCNPop_AgeUnder5_With_A_Disability,Disability_Population_TCNPop_Age5to17,Disability_TCNPop_Age5to17_With_A_Disability,Percent_Disability_TCNPop_Age5to17_With_A_Disability,Disability_Population_TCNPop_Age0to17,Disability_TCNPopAge0to17_With_A_Disability,Percent_Disability_TCNPop_Age0to17_With_A_Disability,Disability_TCNPop_With_A_Hearing_Difficulty,Percent_Disability_TCNPop_With_A_Hearing_Difficulty,Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Disability_TCNPop_With_A_Vision_Difficulty,Percent_Disability_TCNPop_With_A_Vision_Difficulty,Disability_TCNPop_With_A_Vision_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Vision_Difficulty_Under18,Disability_Population_TCNPop_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Disability_Population_TCNPop_Age_Over_17,Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty,Percent_Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty
1,08043979000,"Census Tract 9790, Fremont County, Colorado",08043979000,FREMONT,3471,3.4,3471,477,710,20.5,46,0,0,431,8,1.9,477,8,1.6,311,9,0,0,117,3.4,0,0,3425,230,6.7,8,1.9,370,10.8,0,0,157,4.6,0,0,2994,295,9.9
2,08045951600,"Census Tract 9516, Garfield County, Colorado",08045951600,GARFIELD,3656,6.4,3656,856,376,10.3,247,0,0,609,7,1.1,856,8,1,161,4.4,0,0,49,1.3,0,0,3409,126,3.7,7,1.1,183,5.4,0,0,30,0.9,0,0,2800,72,2.6
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",08069002803,LARIMER,97,0.4,97,0,12,12.4,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,97,0,0,0,,12,12.4,0,,0,0,0,,97,0,0
4,08125963200,"Census Tract 9632, Yuma County, Colorado",08125963200,YUMA,5467,5.3,5393,1086,732,13.6,361,0,0,725,25,3.4,1086,23,2.3,292,5.4,0,0,161,3,0,0,5032,172,3.4,25,3.4,333,6.6,0,0,25,0.5,0,0,4307,221,5.1
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",08069002401,LARIMER,1310,3.3,1310,120,200,15.3,10,0,0,110,18,16.4,120,20,13.9,90,6.9,0,0,77,5.9,18,15,1300,36,2.8,18,16.4,73,5.6,0,0,6,0.5,0,0,1190,20,1.7
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",08069002402,LARIMER,2712,2.9,2712,414,376,13.9,18,0,0,396,0,0,414,0,0,185,6.8,0,0,73,2.7,0,0,2694,151,5.6,0,0,158,5.9,0,0,94,3.5,0,0,2298,134,5.8
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",08103951200,RIO BLANCO,2625,2.1,2581,545,180,7,194,0,0,351,0,0,545,0,0,86,3.3,0,0,7,0.3,0,0,2387,22,0.9,0,0,105,4.4,0,0,16,0.7,0,0,2036,67,3.3
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",08103951100,RIO BLANCO,3932,2,3864,1044,480,12.4,199,0,0,845,28,3.3,1044,29,3.1,201,5.2,0,0,67,1.7,8,0.8,3665,114,3.1,20,2.4,279,7.6,14,1.7,58,1.6,14,1.7,2820,116,4.1
9,08049000201,"Census Tract 2.01, Grand County, Colorado",08049000201,GRAND,4908,9.9,4908,661,294,6,210,0,0,451,0,0,661,0,0,128,2.6,0,0,10,0.2,0,0,4698,69,1.5,0,0,136,2.9,0,0,65,1.4,0,0,4247,95,2.2
10,08049000202,"Census Tract 2.02, Grand County, Colorado",08049000202,GRAND,6907,27.3,6854,1119,234,3.4,223,0,0,896,0,0,1119,0,0,24,0.4,0,0,42,0.6,0,0,6631,40,0.6,0,0,109,1.6,0,0,52,0.8,0,0,5735,160,2.8
11,08049000100,"Census Tract 1, Grand County, Colorado",08049000100,GRAND,2978,2.7,2972,774,263,8.8,148,0,0,626,24,3.8,774,19,2.7,106,3.6,0,0,14,0.5,0,0,2824,120,4.2,24,3.8,147,5.2,6,1,104,3.7,0,0,2198,194,8.8
12,08081000600,"Census Tract 6, Moffat County, Colorado",08081000600,MOFFAT,1321,0.3,1321,363,190,14.4,71,0,0,292,3,1,363,3,0.7,84,6.4,0,0,26,2,0,0,1250,34,2.7,3,1,91,7.3,0,0,16,1.3,0,0,958,62,6.5
13,08081000500,"Census Tract 5, Moffat County, Colorado",08081000500,MOFFAT,4319,1145.6,4242,1182,435,10.3,358,0,0,824,40,4.9,1182,27,2.3,181,4.3,0,0,127,3,0,0,3884,96,2.5,40,4.9,115,3,0,0,42,1.1,0,0,3060,74,2.4
14,08081000400,"Census Tract 4, Moffat County, Colorado",08081000400,MOFFAT,4548,1618.5,4499,1077,464,10.3,193,0,0,884,11,1.2,1077,4,0.4,97,2.2,0,0,68,1.5,0,0,4306,150,3.5,11,1.2,236,5.5,0,0,71,1.6,0,0,3422,204,6
15,08081000300,"Census Tract 3, Moffat County, Colorado",08081000300,MOFFAT,2868,18.5,2868,745,312,10.9,182,0,0,563,0,0,745,0,0,121,4.2,0,0,50,1.7,0,0,2686,46,1.7,0,0,130,4.8,0,0,20,0.7,0,0,2123,64,3
16,08057955600,"Census Tract 9556, Jackson County, Colorado",08057955600,JACKSON,1372,0.9,1367,290,85,6.2,89,0,0,201,0,0,290,0,0,35,2.6,0,0,15,1.1,0,0,1278,13,1,0,0,60,4.7,0,0,10,0.8,0,0,1077,48,4.5
17,08121924100,"Census Tract 9241, Washington County, Colorado",08121924100,WASHINGTON,1939,1.1,1939,484,246,12.7,64,0,0,420,28,6.7,484,37,6.8,87,4.5,0,0,48,2.5,12,2.5,1875,49,2.6,11,2.6,99,5.3,2,0.5,27,1.4,5,1.2,1455,45,3.1
18,08107000800,"Census Tract 8, Routt County, Colorado",08107000800,ROUTT,2059,3.6,2059,401,137,6.7,126,0,0,275,19,6.9,401,19,4.9,29,1.4,0,0,8,0.4,0,0,1933,43,2.2,19,6.9,48,2.5,0,0,30,1.6,6,2.2,1658,67,4
19,08107000700,"Census Tract 7, Routt County, Colorado",08107000700,ROUTT,5070,86.6,5022,855,180,3.6,196,0,0,659,0,0,855,0,0,61,1.2,0,0,24,0.5,0,0,4826,20,0.4,0,0,115,2.4,0,0,40,0.8,0,0,4167,112,2.7
20,08107000500,"Census Tract 5, Routt County, Colorado",08107000500,ROUTT,4144,97.3,4144,555,83,2,79,0,0,476,0,0,555,0,0,8,0.2,0,0,31,0.7,0,0,4065,50,1.2,0,0,60,1.5,0,0,10,0.2,0,0,3589,54,1.5
21,08107000200,"Census Tract 2, Routt County, Colorado",08107000200,ROUTT,1996,160.7,1995,509,286,14.3,107,0,0,402,33,8.2,509,25,5.1,152,7.6,0,0,38,1.9,0,0,1888,95,5,25,6.2,161,8.5,8,2,41,2.2,5,1.2,1486,34,2.3
22,08107000400,"Census Tract 4, Routt County, Colorado",08107000400,ROUTT,3909,100.6,3865,951,232,6,281,0,0,670,0,0,951,0,0,46,1.2,0,0,8,0.2,0,0,3584,86,2.4,0,0,75,2.1,0,0,59,1.6,0,0,2914,166,5.7
23,08107000600,"Census Tract 6, Routt County, Colorado",08107000600,ROUTT,3028,94.7,2985,519,84,2.8,119,0,0,400,0,0,519,16,2.7,18,0.6,0,0,0,0,0,0,2866,47,1.6,0,0,0,0,0,0,0,0,0,0,2466,19,0.8
24,08107000300,"Census Tract 3, Routt County, Colorado",08107000300,ROUTT,2219,4.4,2219,414,242,10.9,64,0,0,350,0,0,414,4,1.3,89,4,0,0,38,1.7,0,0,2155,65,3,0,0,59,2.7,0,0,53,2.5,0,0,1805,102,5.7
25,08107000100,"Census Tract 1, Routt County, Colorado",08107000100,ROUTT,1934,1.8,1934,402,133,6.9,60,0,0,342,0,0,402,0,0,65,3.4,0,0,50,2.6,0,0,1874,39,2.1,0,0,84,4.5,0,0,7,0.4,0,0,1532,59,3.9
26,08051963900,"Census Tract 9639, Gunnison County, Colorado",08051963900,GUNNISON,869,0.5,869,93,150,17.3,15,0,0,78,0,0,93,0,0,34,3.9,0,0,18,2.1,0,0,854,27,3.2,0,0,99,11.6,0,0,37,4.3,0,0,776,14,1.8
27,08051963700,"Census Tract 9637, Gunnison County, Colorado",08051963700,GUNNISON,6461,1153.8,6416,732,421,6.6,217,0,0,515,29,5.6,732,51,6,125,1.9,0,0,104,1.6,29,4,6199,189,3,29,5.6,219,3.5,0,0,65,1,0,0,5684,188,3.3
28,08051963600,"Census Tract 9636, Gunnison County, Colorado",08051963600,GUNNISON,4040,3.2,4040,975,414,10.2,170,0,0,805,16,2,975,18,2.2,254,6.3,0,0,98,2.4,0,0,3870,119,3.1,0,0,176,4.5,16,2,78,2,16,2,3065,78,2.5
29,08051963800,"Census Tract 9638, Gunnison County, Colorado",08051963800,GUNNISON,4845,14.9,4845,1071,271,5.6,341,0,0,730,10,1.4,1071,0,0,80,1.7,10,0.9,55,1.1,0,0,4504,158,3.5,0,0,84,1.9,0,0,64,1.4,0,0,3774,64,1.7
30,08021974900,"Census Tract 9749, Conejos County, Colorado",08021974900,CONEJOS,4109,3.9,4109,1080,859,20.9,291,0,0,789,28,3.5,1080,25,2.3,295,7.2,10,0.9,232,5.6,2,0.2,3818,202,5.3,16,2,552,14.5,10,1.3,124,3.2,10,1.3,3029,331,10.9
31,08021974800,"Census Tract 9748, Conejos County, Colorado",08021974800,CONEJOS,4038,16.9,4000,1162,873,21.8,294,5,1.7,868,25,2.9,1162,32,2.8,330,8.3,22,1.9,188,4.7,25,2.2,3706,241,6.5,25,2.9,569,15.4,17,2,172,4.6,17,2,2838,305,10.7
32,08037000703,"Census Tract 7.03, Eagle County, Colorado",08037000703,EAGLE,2663,31,2658,269,120,4.5,74,0,0,195,0,0,269,0,0,5,0.2,0,0,48,1.8,0,0,2584,18,0.7,0,0,49,1.9,0,0,37,1.4,0,0,2389,37,1.5
33,08037000301,"Census Tract 3.01, Eagle County, Colorado",08037000301,EAGLE,6327,684,6327,1480,457,7.2,330,0,0,1150,48,4.2,1480,15,1,163,2.6,0,0,217,3.4,15,1,5997,185,3.1,33,2.9,94,1.6,0,0,92,1.5,33,2.9,4847,74,1.5
34,08037000702,"Census Tract 7.02, Eagle County, Colorado",08037000702,EAGLE,1627,92.4,1627,199,69,4.2,11,0,0,188,0,0,199,0,0,35,2.2,0,0,13,0.8,0,0,1616,6,0.4,0,0,24,1.5,0,0,0,0,0,0,1428,22,1.5
35,08037000402,"Census Tract 4.02, Eagle County, Colorado",08037000402,EAGLE,4703,72.3,4703,1112,103,2.2,216,0,0,896,0,0,1112,0,0,9,0.2,0,0,29,0.6,0,0,4487,22,0.5,0,0,60,1.3,0,0,0,0,0,0,3591,17,0.5
36,08037000501,"Census Tract 5.01, Eagle County, Colorado",08037000501,EAGLE,630,32.7,630,40,12,1.9,0,0,,40,0,0,40,0,0,6,1,0,0,6,1,0,0,630,6,1,0,0,6,1,0,0,0,0,0,0,590,0,0
37,08037000502,"Census Tract 5.02, Eagle County, Colorado",08037000502,EAGLE,4421,319.7,4421,1050,230,5.2,366,0,0,684,49,7.2,1050,59,5.3,48,1.1,0,0,64,1.4,0,0,4055,99,2.4,29,4.2,127,3.1,20,2.9,48,1.2,0,0,3371,67,2
38,08037000302,"Census Tract 3.02, Eagle County, Colorado",08037000302,EAGLE,2188,9.4,2188,354,85,3.9,14,0,0,340,8,2.4,354,8,1.9,58,2.7,8,2.3,6,0.3,0,0,2174,3,0.1,0,0,21,1,0,0,13,0.6,0,0,1834,13,0.7
39,08037000403,"Census Tract 4.03, Eagle County, Colorado",08037000403,EAGLE,8382,42,8319,2416,428,5.1,571,24,4.2,1845,80,4.3,2416,68,2.8,36,0.4,36,1.5,186,2.2,24,1,7748,183,2.4,44,2.4,162,2.1,0,0,96,1.2,0,0,5903,119,2
40,08037000701,"Census Tract 7.01, Eagle County, Colorado",08037000701,EAGLE,1503,193.4,1503,177,0,0,26,0,0,151,0,0,177,0,0,0,0,0,0,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,0
41,08037000401,"Census Tract 4.01, Eagle County, Colorado",08037000401,EAGLE,4311,58.1,4311,908,237,5.5,320,0,0,588,0,0,908,0,0,70,1.6,0,0,2,0,0,0,3991,94,2.4,0,0,183,4.6,0,0,13,0.3,0,0,3403,124,3.6
42,08037000503,"Census Tract 5.03, Eagle County, Colorado",08037000503,EAGLE,6503,248.8,6503,1699,163,2.5,580,0,0,1119,0,0,1699,0,0,115,1.8,0,0,0,0,0,0,5923,48,0.8,0,0,163,2.8,0,0,163,2.8,0,0,4804,0,0
43,08037000100,"Census Tract 1, Eagle County, Colorado",08037000100,EAGLE,1597,2.9,1597,393,64,4,151,0,0,242,0,0,393,0,0,22,1.4,0,0,20,1.3,0,0,1446,14,1,0,0,24,1.7,0,0,9,0.6,0,0,1204,35,2.9
44,08037000600,"Census Tract 6, Eagle County, Colorado",08037000600,EAGLE,1535,6.2,1535,181,114,7.4,40,0,0,141,3,2.1,181,3,1.3,16,1,0,0,0,0,0,0,1495,29,1.9,3,2.1,63,4.2,3,2.1,16,1.1,3,2.1,1354,66,4.9
45,08037000200,"Census Tract 2, Eagle County, Colorado",08037000200,EAGLE,7336,50.9,7336,1807,389,5.3,488,0,0,1319,0,0,1807,0,0,102,1.4,0,0,21,0.3,0,0,6848,88,1.3,0,0,185,2.7,0,0,87,1.3,0,0,5529,151,2.7
46,08045951901,"Census Tract 9519.01, Garfield County, Colorado",08045951901,GARFIELD,4901,34.4,4892,1434,419,8.6,435,0,0,999,11,1.1,1434,13,1,201,4.1,0,0,86,1.8,0,0,4457,139,3.1,11,1.1,153,3.4,0,0,63,1.4,0,0,3458,103,3
47,08045951701,"Census Tract 9517.01, Garfield County, Colorado",08045951701,GARFIELD,4014,804.4,4014,911,253,6.3,221,0,0,690,28,4.1,911,22,3,67,1.7,0,0,54,1.3,0,0,3793,109,2.9,28,4.1,128,3.4,7,1,62,1.6,7,1,3103,47,1.5
48,08045951902,"Census Tract 9519.02, Garfield County, Colorado",08045951902,GARFIELD,7111,25.6,7111,1877,412,5.8,514,0,0,1363,12,0.9,1877,15,0.8,218,3.1,0,0,67,0.9,0,0,6597,112,1.7,12,0.9,158,2.4,0,0,48,0.7,0,0,5234,73,1.4
49,08045951702,"Census Tract 9517.02, Garfield County, Colorado",08045951702,GARFIELD,3507,798.9,3361,558,398,11.8,128,0,0,430,14,3.3,558,14,2.4,175,5.2,0,0,15,0.4,0,0,3233,153,4.7,14,3.3,148,4.6,14,3.3,73,2.3,14,3.3,2803,121,4.3
50,08045952001,"Census Tract 9520.01, Garfield County, Colorado",08045952001,GARFIELD,5051,150.5,5051,1335,306,6.1,298,0,0,1037,0,0,1335,9,0.6,126,2.5,0,0,63,1.2,0,0,4753,72,1.5,0,0,159,3.3,0,0,64,1.3,0,0,3716,57,1.5
51,08045952002,"Census Tract 9520.02, Garfield County, Colorado",08045952002,GARFIELD,8266,20.1,7874,2306,738,9.4,508,0,0,1798,0,0,2306,23,1,398,5.1,0,0,126,1.6,0,0,7366,125,1.7,0,0,258,3.5,0,0,106,1.4,0,0,5568,205,3.7
52,08045951803,"Census Tract 9518.03, Garfield County, Colorado",08045951803,GARFIELD,6245,173.5,6152,1655,516,8.4,562,22,3.9,1093,84,7.7,1655,117,7.2,202,3.3,22,1.3,143,2.3,31,1.9,5590,148,2.6,75,6.9,81,1.4,0,0,23,0.4,0,0,4497,38,0.8
53,08045951804,"Census Tract 9518.04, Garfield County, Colorado",08045951804,GARFIELD,3958,108.7,3958,806,183,4.6,247,0,0,559,8,1.4,806,44,4.9,53,1.3,0,0,69,1.7,0,0,3711,50,1.3,8,1.4,87,2.3,0,0,34,0.9,0,0,3152,42,1.3
54,08045951802,"Census Tract 9518.02, Garfield County, Colorado",08045951802,GARFIELD,4249,29.8,4249,1303,135,3.2,398,0,0,905,0,0,1303,56,4.7,56,1.3,0,0,15,0.4,0,0,3851,64,1.7,0,0,31,0.8,0,0,0,0,0,0,2946,9,0.3
55,08045952100,"Census Tract 9521, Garfield County, Colorado",08045952100,GARFIELD,6987,5.4,6987,1918,1036,14.8,523,0,0,1395,94,6.7,1918,61,3.1,254,3.6,31,1.6,207,3,29,1.5,6464,232,3.6,34,2.4,627,9.7,2,0.1,128,2,2,0.1,5069,268,5.3
56,08067970704,"Census Tract 9707.04, La Plata County, Colorado",08067970704,LA PLATA,3837,12.7,3837,504,387,10.1,67,0,0,437,29,6.6,504,30,6.3,168,4.4,0,0,72,1.9,0,0,3770,63,1.7,29,6.6,126,3.3,0,0,28,0.7,0,0,3333,74,2.2
57,08067970703,"Census Tract 9707.03, La Plata County, Colorado",08067970703,LA PLATA,5549,97.6,5549,1078,408,7.4,345,0,0,733,0,0,1078,20,1.6,133,2.4,0,0,100,1.8,0,0,5204,164,3.2,0,0,154,3,0,0,56,1.1,0,0,4471,142,3.2
58,08067970701,"Census Tract 9707.01, La Plata County, Colorado",08067970701,LA PLATA,5265,15.2,5265,1300,380,7.2,409,0,0,891,35,3.9,1300,25,2,85,1.6,0,0,99,1.9,0,0,4856,100,2.1,21,2.4,106,2.2,0,0,21,0.4,14,1.6,3965,60,1.5
59,08067940300,"Census Tract 9403, La Plata County, Colorado",08067940300,LA PLATA,6073,29.8,6038,1313,628,10.4,362,0,0,951,30,3.2,1313,45,3.2,286,4.7,12,0.9,199,3.3,0,0,5676,200,3.5,13,1.4,257,4.5,0,0,88,1.6,5,0.5,4725,189,4
60,08097000500,"Census Tract 5, Pitkin County, Colorado",08097000500,PITKIN,2479,5.4,2479,612,59,2.4,212,0,0,400,0,0,612,0,0,42,1.7,0,0,10,0.4,0,0,2267,0,0,0,0,14,0.6,0,0,7,0.3,0,0,1867,21,1.1
61,08097000401,"Census Tract 4.01, Pitkin County, Colorado",08097000401,PITKIN,4542,461.1,4515,395,199,4.4,71,0,0,324,30,9.3,395,24,7.7,112,2.5,0,0,21,0.5,0,0,4444,50,1.1,30,9.3,56,1.3,0,0,0,0,0,0,4120,0,0
62,08097000402,"Census Tract 4.02, Pitkin County, Colorado",08097000402,PITKIN,3143,92.2,3143,616,140,4.5,136,0,0,480,0,0,616,0,0,82,2.6,0,0,32,1,0,0,3007,34,1.1,0,0,61,2,0,0,30,1,0,0,2527,57,2.3
63,08097000100,"Census Tract 1, Pitkin County, Colorado",08097000100,PITKIN,7583,16.2,7555,1257,400,5.3,356,0,0,901,71,7.9,1257,122,9.8,180,2.4,0,0,136,1.8,0,0,7199,115,1.6,71,7.9,17,0.2,0,0,14,0.2,0,0,6298,147,2.3
64,08117000402,"Census Tract 4.02, Summit County, Colorado",08117000402,SUMMIT,6340,93.8,6340,667,164,2.6,46,0,0,621,0,0,667,0,0,46,0.7,0,0,0,0,0,0,6294,41,0.7,0,0,84,1.3,0,0,52,0.8,0,0,5673,62,1.1
65,08117000401,"Census Tract 4.01, Summit County, Colorado",08117000401,SUMMIT,3864,66.2,3786,471,305,8.1,179,0,0,292,0,0,471,0,0,109,2.9,0,0,99,2.6,0,0,3607,108,3,0,0,75,2.1,0,0,135,3.7,0,0,3315,149,4.5
66,08117000100,"Census Tract 1, Summit County, Colorado",08117000100,SUMMIT,8155,31.2,8155,1339,482,5.9,370,0,0,969,0,0,1339,0,0,288,3.5,0,0,105,1.3,0,0,7785,125,1.6,0,0,167,2.1,0,0,82,1.1,0,0,6816,82,1.2
67,08117000200,"Census Tract 2, Summit County, Colorado",08117000200,SUMMIT,7162,61.4,7162,1634,280,3.9,573,50,8.7,1061,47,4.4,1634,120,9,174,2.4,60,3.7,123,1.7,43,2.6,6589,117,1.8,31,2.9,141,2.1,0,0,69,1,0,0,5528,86,1.6
68,08117000300,"Census Tract 3, Summit County, Colorado",08117000300,SUMMIT,4201,40.4,4201,690,570,13.6,124,25,20.2,566,32,5.7,690,50,8.2,67,1.6,25,3.6,0,0,0,0,4077,255,6.3,32,5.7,445,10.9,0,0,167,4.1,0,0,3511,197,5.6
69,08067971100,"Census Tract 9711, La Plata County, Colorado",08067971100,LA PLATA,4350,462.8,4147,558,324,7.8,84,9,10.7,474,21,4.4,558,23,3.7,108,2.6,9,1.6,73,1.8,21,3.8,4063,19,0.5,0,0,141,3.5,0,0,8,0.2,0,0,3589,71,2
70,08067971000,"Census Tract 9710, La Plata County, Colorado",08067971000,LA PLATA,2984,1546.1,2903,662,249,8.6,212,0,0,450,9,2,662,6,1,102,3.5,0,0,34,1.2,0,0,2691,91,3.4,9,2,108,4,9,2,72,2.7,9,2,2241,55,2.5
71,08067970900,"Census Tract 9709, La Plata County, Colorado",08067970900,LA PLATA,4255,1338.1,4143,846,340,8.2,316,0,0,530,0,0,846,0,0,152,3.7,0,0,58,1.4,0,0,3827,128,3.3,0,0,178,4.7,0,0,91,2.4,0,0,3297,126,3.8
72,08067970800,"Census Tract 9708, La Plata County, Colorado",08067970800,LA PLATA,7197,1650.7,7197,1042,491,6.8,261,0,0,781,27,3.5,1042,25,2.5,120,1.7,0,0,135,1.9,0,0,6936,274,4,0,0,210,3,0,0,151,2.2,27,3.5,6155,163,2.6
73,08067940400,"Census Tract 9404, La Plata County, Colorado",08067940400,LA PLATA,5620,11.6,5590,1109,624,11.2,228,0,0,881,42,4.8,1109,32,2.6,334,6,12,1.1,144,2.6,28,2.5,5362,174,3.2,16,1.8,273,5.1,6,0.7,86,1.6,0,0,4481,178,4
74,08067970600,"Census Tract 9706, La Plata County, Colorado",08067970600,LA PLATA,9339,33.2,9339,2084,943,10.1,501,0,0,1583,89,5.6,2084,79,4.1,353,3.8,29,1.4,97,1,0,0,8838,286,3.2,60,3.8,466,5.3,0,0,98,1.1,0,0,7255,214,2.9
75,08065961900,"Census Tract 9619, Lake County, Colorado",08065961900,LAKE,2308,6.4,2308,649,193,8.4,153,0,0,496,0,0,649,0,0,22,1,0,0,37,1.6,0,0,2155,62,2.9,0,0,95,4.4,0,0,56,2.6,0,0,1659,92,5.5
76,08065961700,"Census Tract 9617, Lake County, Colorado",08065961700,LAKE,5173,335.3,5118,688,634,12.4,210,0,0,478,0,0,688,73,8.9,95,1.9,0,0,109,2.1,0,0,4908,315,6.4,0,0,383,7.8,0,0,196,4,0,0,4430,367,8.3
77,08029965100,"Census Tract 9651, Delta County, Colorado",08029965100,DELTA,4429,241.6,4324,971,822,19,307,0,0,664,25,3.8,971,21,2,307,7.1,0,0,159,3.7,0,0,4017,294,7.3,25,3.8,410,10.2,0,0,70,1.7,0,0,3353,310,9.2
78,08029965200,"Census Tract 9652, Delta County, Colorado",08029965200,DELTA,3973,36.3,3973,677,679,17.1,124,0,0,553,19,3.4,677,15,2.1,255,6.4,5,0.7,122,3.1,0,0,3849,197,5.1,14,2.5,329,8.5,0,0,79,2.1,0,0,3296,176,5.3
79,08029964600,"Census Tract 9646, Delta County, Colorado",08029964600,DELTA,3567,13.9,3531,675,602,17,154,0,0,521,9,1.7,675,8,1,317,9,5,0.7,111,3.1,3,0.4,3377,166,4.9,6,1.2,292,8.6,0,0,115,3.4,5,1,2856,214,7.5
80,08029965000,"Census Tract 9650, Delta County, Colorado",08029965000,DELTA,4782,15,4782,1092,828,17.3,218,0,0,874,58,6.6,1092,70,6.9,372,7.8,0,0,195,4.1,0,0,4564,218,4.8,58,6.6,466,10.2,0,0,144,3.2,0,0,3690,215,5.8
81,08029964900,"Census Tract 9649, Delta County, Colorado",08029964900,DELTA,5563,75.2,5519,1387,937,17,397,0,0,990,34,3.4,1387,52,3.8,400,7.2,12,0.9,150,2.7,0,0,5122,358,7,0,0,527,10.3,22,2.2,221,4.3,22,2.2,4132,417,10.1
82,08029964800,"Census Tract 9648, Delta County, Colorado",08029964800,DELTA,4007,17.2,3199,648,589,18.4,189,0,0,459,0,0,648,0,0,299,9.3,0,0,100,3.1,0,0,3010,231,7.7,0,0,377,12.5,0,0,119,4,0,0,2551,213,8.3
83,08029964700,"Census Tract 9647, Delta County, Colorado",08029964700,DELTA,3896,29.5,3839,695,806,21,149,0,0,546,0,0,695,81,10.6,345,9,0,0,111,2.9,0,0,3690,163,4.4,0,0,414,11.2,0,0,102,2.8,0,0,3144,166,5.3
84,08003960300,"Census Tract 9603, Alamosa County, Colorado",08003960300,ALAMOSA,5397,381.7,4995,1525,939,18.8,438,26,5.9,1087,74,6.8,1525,109,7,272,5.4,31,2,306,6.1,46,3,4557,291,6.4,43,4,621,13.6,23,2.1,129,2.8,0,0,3470,280,8.1
85,08003960200,"Census Tract 9602, Alamosa County, Colorado",08003960200,ALAMOSA,6526,735.7,6486,1342,1321,20.4,306,0,0,1036,41,4,1342,74,5.3,371,5.7,0,0,171,2.6,0,0,6180,559,9,41,4,486,7.9,0,0,115,1.9,0,0,5144,234,4.5
86,08113968102,"Census Tract 9681.02, San Miguel County, Colorado",08113968102,SAN MIGUEL,1963,119.8,1963,365,135,6.9,49,0,0,316,3,0.9,365,4,1.1,70,3.6,3,0.8,20,1,0,0,1914,13,0.7,0,0,21,1.1,0,0,12,0.6,0,0,1598,19,1.2
87,08113968101,"Census Tract 9681.01, San Miguel County, Colorado",08113968101,SAN MIGUEL,1921,93,1921,387,51,2.7,77,0,0,310,0,0,387,0,0,31,1.6,0,0,0,0,0,0,1844,12,0.7,0,0,6,0.3,0,0,8,0.4,0,0,1534,3,0.2
88,08113968103,"Census Tract 9681.03, San Miguel County, Colorado",08113968103,SAN MIGUEL,2015,6.3,1989,315,287,14.4,78,0,0,237,2,0.8,315,22,5.3,116,5.8,0,0,100,5,0,0,1911,116,6.1,2,0.8,120,6.3,0,0,50,2.6,0,0,1674,51,3
89,08113968200,"Census Tract 9682, San Miguel County, Colorado",08113968200,SAN MIGUEL,1905,2,1905,382,277,14.5,138,0,0,244,8,3.3,382,10,2.9,83,4.4,0,0,13,0.7,0,0,1767,87,4.9,8,3.3,173,9.8,0,0,67,3.8,0,0,1523,67,4.4
90,08079973600,"Census Tract 9736, Mineral County, Colorado",08079973600,MINERAL,834,1,834,82,156,18.7,13,0,0,69,0,0,82,0,0,102,12.2,0,0,40,4.8,0,0,821,46,5.6,0,0,66,8,0,0,29,3.5,0,0,752,45,6
91,08083941100,"Census Tract 9411, Montezuma County, Colorado",08083941100,MONTEZUMA,1541,2.2,1502,573,145,9.7,230,0,0,343,8,2.3,573,4,0.9,66,4.4,0,0,54,3.6,0,0,1272,24,1.9,0,0,100,7.9,4,1.2,36,2.8,4,1.2,929,46,5
